tripduration,startstationid,endstationid,bikeid
997,174,493,17964
262,461,237,15071
492,505,253,15306
428,435,496,17646
1318,405,519,15719
234,387,309,19239
384,195,309,16144
989,516,540,18185
508,493,522,19556
758,373,384,18960
137,257,79,15728
446,237,266,18717
640,253,475,14957
266,2004,417,17512
560,366,300,16945
263,519,469,17270
569,519,442,20082
367,421,430,19185
805,517,237,16693
825,161,147,19599
791,476,520,15361
909,274,157,15647
311,393,428,20277
1089,2003,532,19662
689,490,490,15520
551,517,545,19572
530,505,359,17132
656,489,526,14965
1093,461,469,20061
344,522,357,18662
606,518,479,15867
620,304,319,19849
533,343,430,17073
530,442,493,16131
345,517,293,15215
809,537,458,17146
478,519,362,16489
883,445,486,19031
683,499,487,14829
588,480,488,18544
2005,152,513,18367
2450,415,450,18276
1202,127,514,16669
470,293,546,18607
773,391,376,15627
353,519,505,18482
1301,472,195,15741
1372,460,475,19720
580,363,427,18104
1260,434,367,19387
330,266,433,15898
142,446,482,14934
395,496,468,19772
212,264,534,15311
370,328,348,18556
333,466,505,16011
312,326,285,20380
806,229,248,17374
762,495,359,18536
1355,326,486,15177
263,524,318,19691
1489,448,478,14885
87,350,350,19241
1233,72,540,15859
800,533,293,18573
1250,357,319,14988
668,456,493,19535
1244,157,387,16779
1425,526,146,17979
834,435,375,19924
426,513,500,18731
744,233,330,17800
1140,150,2000,18539
887,432,444,19803
1033,466,228,15729
124,285,345,17718
947,375,360,16754
432,399,300,20059
402,507,160,17067
243,354,366,19619
635,264,285,17463
333,482,466,15412
921,352,367,19842
149,274,300,16788
590,461,167,18495
638,250,521,19438
284,319,444,17343
876,358,341,18673
1168,361,492,18219
925,438,455,18225
552,494,463,19124
727,435,485,16212
228,470,462,19308
285,377,268,15793
451,274,144,17499
1495,376,508,17062
673,293,546,18849
275,312,250,18569
831,357,224,20064
453,332,545,16027
413,278,233,17231
1272,266,459,15787
1407,501,337,16585
454,432,537,16980
397,524,359,17899
524,518,359,18860
1297,401,368,19835
1052,490,305,17380
1677,317,479,18399
279,290,164,17856
1010,539,242,15082
523,546,444,16064
370,153,488,17034
284,410,445,19145
1050,266,546,19119
2105,430,546,19076
1067,322,367,17016
798,266,496,19403
1995,393,522,16534
364,152,386,17859
2232,431,280,15426
825,312,147,19854
493,280,377,18318
395,247,294,17262
693,461,509,19670
387,348,335,16581
428,174,519,18848
487,271,233,20045
632,301,263,14644
613,513,496,15184
758,489,174,19256
969,362,318,19338
664,2021,167,15401
796,448,168,15101
1160,2003,335,20373
1381,433,195,17812
698,497,519,16112
1547,405,449,19542
976,312,404,18534
879,476,522,18071
3554,329,522,18153
2783,518,79,17211
173,2004,2004,17214
808,519,280,15446
481,380,168,17703
460,293,377,17104
162,511,445,19777
2067,467,540,15350
549,393,285,19826
454,434,368,15899
2167,143,450,15332
1262,466,417,16300
2039,458,415,18139
1571,2003,326,18743
1087,445,295,16150
1146,290,379,16514
1483,475,315,15406
449,417,249,20329
1290,511,308,18111
432,2012,402,14770
589,326,128,18396
279,306,337,16325
704,422,536,16118
389,343,430,19901
485,517,352,18912
893,475,329,18392
546,461,518,18460
1531,309,508,14900
331,352,489,16593
1492,475,290,16872
881,307,260,16076
566,297,470,18262
782,326,263,19906
664,79,496,17750
525,247,2004,16940
807,495,464,15262
1089,229,248,20161
770,237,79,20300
579,301,263,16200
1606,2003,522,20620
429,417,386,17512
413,517,2008,18931
260,253,223,15339
227,329,147,19261
417,468,538,15134
866,536,490,20575
664,518,493,18767
963,459,153,18054
624,296,534,16963
268,538,228,20513
322,212,247,19450
1376,271,224,17689
2053,391,386,16760
527,301,263,18993
1492,521,367,18295
1509,420,473,16885
1553,384,377,16664
1522,291,347,16549
677,160,488,18510
481,318,444,16231
608,414,313,15203
1053,127,360,19411
871,2003,359,18268
1024,266,316,15003
499,350,253,19847
1421,438,510,18774
249,168,446,19614
1147,405,376,15374
1268,2003,500,14892
529,361,417,19222
672,447,522,15978
321,417,249,17264
438,489,505,18522
2307,363,164,17622
809,448,168,16235
711,507,498,16687
920,72,404,17616
759,448,402,14969
1158,290,253,19209
682,537,453,15894
543,398,414,15130
437,264,147,17963
407,463,368,19188
936,161,533,16140
758,2012,359,19409
585,438,174,17948
419,127,284,15926
513,265,325,15687
184,264,534,19220
931,151,304,16577
448,347,369,15885
312,528,537,16357
1469,427,525,14877
764,267,329,17155
11833,83,418,17878
1124,516,497,15390
420,348,473,15993
1687,317,464,18671
1400,536,168,18147
1019,521,352,15500
1846,345,386,17950
1224,518,466,18391
1214,525,249,16567
670,243,497,17944
439,311,250,15192
517,290,484,17604
1308,459,264,17522
963,406,531,17199
634,453,523,14542
836,484,468,17675
439,433,362,15898
593,528,505,17969
358,375,127,15483
659,519,490,16347
414,524,538,19045
1461,476,306,20146
911,72,417,15139
1011,445,522,17172
460,290,2006,16607
1783,430,536,18881
783,432,455,16691
504,545,167,15300
916,385,267,16866
1070,385,486,16416
611,505,484,18482
1097,448,500,16546
3974,505,281,16011
815,433,517,15336
368,494,434,15982
355,545,476,15247
1163,237,329,15071
263,524,517,18275
431,161,247,16833
236,233,218,18014
1191,433,469,17862
459,120,324,20624
740,361,337,16132
214,278,430,20610
501,379,507,19779
206,368,375,19275
253,493,352,17886
832,356,296,19025
458,2003,285,19071
665,511,402,17139
1037,521,522,17741
664,484,444,19307
558,293,320,18092
176,505,490,19404
758,474,493,17823
651,405,446,14937
1009,391,260,16868
501,433,345,19558
453,259,306,20511
581,297,267,14985
210,324,368,18127
581,325,326,17872
304,442,461,19615
399,302,428,17540
2194,480,341,15349
586,128,2008,17124
483,355,229,17605
495,375,401,15997
2033,467,405,19780
632,79,402,20241
1453,143,347,14935
2654,278,2006,18966
697,426,469,16608
841,250,385,15644
873,236,351,19167
767,422,391,18972
294,485,243,18808
1140,258,195,18217
656,2000,387,17891
2228,144,519,16203
885,457,523,18626
1581,232,382,20123
351,336,345,15715
2414,373,323,17258
880,533,290,17387
592,445,323,20071
694,326,168,18016
1733,168,315,20100
1398,459,464,17226
1349,352,352,18977
363,462,404,19308
197,376,351,16062
377,426,387,20305
1029,525,484,16110
1018,167,290,19080
514,386,368,20085
693,401,174,19592
1024,511,128,19322
1133,72,426,16379
896,164,497,15615
818,432,496,14554
1360,445,352,15610
1527,79,387,15105
864,475,524,18032
667,359,367,18620
308,229,128,18043
398,433,285,17344
379,486,538,19501
308,469,465,15022
1081,375,327,16508
342,237,335,19545
1103,447,120,20073
1242,532,2004,19485
329,445,293,19020
1282,519,257,17134
769,356,337,15395
1552,468,404,19880
800,432,285,15487
715,347,375,19365
690,247,444,19450
764,388,388,18644
620,486,2003,16238
412,489,459,18154
649,360,2004,19998
1347,511,315,19790
531,432,251,15421
1814,349,281,17756
743,146,252,15106
344,505,417,17162
883,440,444,17236
405,474,497,19297
214,406,232,20164
486,307,150,16612
874,415,497,15435
748,457,164,17548
813,320,459,20160
596,223,303,15339
311,151,257,15121
732,284,267,14901
998,360,327,17004
662,417,377,14832
358,526,430,15256
1292,326,367,19797
717,318,442,19625
1176,280,304,20595
1779,537,415,15535
475,417,534,16933
1364,431,415,16176
214,315,310,16450
1362,422,536,16169
1181,401,519,16188
804,439,223,17749
671,127,521,19234
1113,318,334,16063
1459,486,500,18921
1274,519,293,17753
932,290,498,16464
1406,490,534,19404
801,317,351,14995
944,336,174,15840
1181,348,2000,18474
1400,393,472,18346
1409,435,164,18834
1149,253,472,17335
766,326,546,16905
936,445,523,18863
1743,442,362,18338
890,2004,408,18780
943,320,497,15522
530,375,168,20281
636,385,318,18708
386,403,504,16589
316,237,285,16454
846,545,359,18327
684,527,464,17708
499,368,466,19152
404,476,253,17594
468,243,402,16394
734,340,417,18249
1231,350,367,18786
529,324,334,15015
219,483,293,20308
759,450,367,18235
380,461,527,16626
264,383,147,17934
1010,485,290,17120
1363,323,260,15489
473,417,330,18591
1294,249,517,14785
331,323,330,20199
801,356,316,15892
97,285,357,18825
744,517,448,15144
1886,281,173,20279
2161,2004,304,20167
671,533,522,15141
459,457,495,19361
852,174,492,17588
532,290,359,19521
1870,281,507,16494
1854,517,147,17867
1679,2008,446,19523
427,416,274,17215
727,290,318,15709
237,306,417,16143
365,492,477,17637
1195,435,328,16261
362,323,2000,15531
1629,466,319,16986
1513,517,386,16917
1432,306,375,18435
556,527,517,17288
1737,284,290,14860
529,505,500,18522
1629,466,319,15412
583,164,465,16135
514,517,533,18405
818,517,538,16644
602,517,503,17190
247,435,453,15800
1024,489,483,18467
394,127,328,19597
1121,236,164,17632
515,517,527,16620
1452,519,402,18473
448,545,477,15189
842,302,497,18282
618,484,464,17274
273,537,497,16357
1230,439,318,18436
774,456,294,18889
739,243,496,18401
824,467,2000,17645
316,348,151,17348
731,326,297,14850
555,350,335,18511
139,276,2004,15128
878,342,351,20051
1703,349,290,15698
1191,167,500,16541
564,253,444,15306
767,236,383,15404
1387,546,377,17712
317,444,382,20529
448,410,332,16109
698,265,461,18586
517,434,497,15982
671,164,540,19216
1952,517,430,15000
348,320,348,19131
446,384,244,18960
564,521,324,19438
727,285,337,16336
670,486,447,19530
1000,380,448,17126
169,320,276,15855
347,243,517,18808
435,312,348,17156
291,533,477,19336
1381,368,318,19874
716,511,518,20562
408,341,307,18025
743,527,522,15468
614,366,365,15936
1755,366,442,15674
206,487,243,14829
401,438,254,20121
156,168,168,17904
532,435,348,18444
2031,395,474,19519
414,307,410,15294
612,342,355,17366
1346,236,524,15059
512,310,418,20173
971,537,500,20545
381,387,147,17439
223,2008,540,16302
407,514,519,17440
347,305,359,17519
876,395,387,19843
458,293,445,19981
456,160,498,17067
559,527,474,15044
742,394,375,16915
295,394,433,16601
1385,2012,487,16841
679,527,486,19986
559,456,444,20015
965,344,323,18853
552,490,518,15520
866,499,488,18253
718,505,352,18163
495,545,348,16815
1247,536,499,16819
377,545,435,18669
1050,439,455,20301
866,523,281,18051
221,2004,367,17214
1124,496,500,17750
472,280,168,19508
466,545,293,19572
386,470,444,18262
2069,490,329,16785
340,326,285,15731
629,388,362,15012
1466,151,153,19237
1038,445,379,17795
793,465,352,15022
1758,405,367,19029
431,212,496,18348
649,79,401,15728
593,291,337,17303
893,266,347,20125
632,518,474,18460
374,319,386,17982
1267,332,435,15328
170,147,417,19599
494,173,529,20252
467,485,265,17451
462,307,265,19199
935,511,359,20382
349,486,485,16775
1470,462,348,15169
808,426,225,16926
517,442,507,20082
684,490,225,15006
429,270,323,16016
324,318,477,19691
339,447,466,15068
864,167,229,15484
615,511,357,20251
977,545,496,17283
969,297,465,20598
1032,297,465,20069
872,511,368,16894
650,147,151,17963
287,499,281,15878
834,417,151,15895
1507,410,293,16821
826,319,2000,18565
258,127,347,20352
397,290,455,19492
1289,432,444,16694
883,401,415,18091
1387,518,153,18026
1294,478,151,20070
1613,526,367,14965
472,397,144,18598
492,509,247,19670
565,468,385,15679
439,164,524,16970
1966,527,351,16326
424,375,173,19475
988,247,195,16833
892,2021,116,20282
281,445,293,17955
2284,469,441,17270
389,519,472,16396
828,2004,168,16987
934,507,464,19779
791,492,253,16935
321,127,369,16070
360,290,516,15270
1285,373,532,18594
277,473,410,19525
1408,332,474,20014
1375,472,195,16784
625,509,375,17502
211,350,531,20224
409,447,538,15388
1346,268,153,18378
428,496,444,17646
691,459,297,18154
571,447,228,19340
1446,417,233,18129
777,393,469,18098
275,485,517,16212
234,195,337,18696
830,290,524,16893
558,540,153,17396
1254,297,2021,16813
1422,368,427,19188
589,195,534,17233
1276,432,228,15532
149,168,464,17904
1022,488,168,18510
1076,393,405,15415
518,326,375,20079
1542,511,517,19366
641,318,500,15988
736,357,347,17821
380,309,388,19581
710,174,164,16401
409,266,392,16587
571,442,465,17427
570,318,500,17225
1296,422,463,14865
1411,237,306,16693
655,294,426,17262
666,363,415,14947
1555,318,328,16962
862,458,496,17146
645,505,167,17969
875,519,500,17546
226,469,472,17923
524,540,267,18185
1546,150,533,16876
863,484,382,18883
901,317,540,19286
430,503,174,18333
789,127,401,16179
236,128,358,18396
195,405,284,18978
333,417,264,19222
635,537,228,20518
197,363,304,18347
501,137,242,16640
431,540,519,16483
1877,446,259,20533
641,368,325,20085
865,474,352,17266
907,391,509,17026
930,275,157,17460
552,350,315,16949
1130,146,417,18519
281,318,465,19338
586,72,243,15987
511,266,251,18717
1068,438,516,20086
2689,305,538,18008
2710,397,212,18472
364,366,300,19619
457,498,519,16734
862,504,519,16589
1388,495,531,14583
611,319,415,20618
407,257,128,19952
657,490,173,20575
1266,355,523,18987
574,284,490,15926
615,324,236,17313
834,524,500,16560
1555,459,446,17080
1157,465,515,15440
764,415,327,19559
216,318,524,17972
710,347,382,17938
513,267,173,18501
767,347,303,16710
258,291,307,17329
206,444,446,16213
1068,173,212,17888
689,408,415,15812
505,167,367,17476
504,439,254,15828
1559,259,518,15085
2063,508,363,17792
882,468,525,19415
1449,511,327,19085
1548,526,355,20553
692,522,536,20020
385,402,546,15062
521,405,168,18110
623,519,72,14971
638,313,300,18666
1032,523,522,14542
164,2002,539,19816
677,345,243,15715
1561,352,346,18070
157,497,497,17655
1062,391,329,19364
282,347,284,18231
378,2004,355,15128
700,253,2012,17594
802,498,161,16165
1067,519,463,19495
483,519,444,16270
779,457,485,16816
693,511,455,14645
1350,428,327,16689
759,517,174,19875
1619,394,488,17035
1546,352,346,14787
1263,167,497,17219
736,459,467,20537
498,469,486,17523
1753,457,522,15991
1404,403,195,20606
392,224,320,20064
1495,332,519,15493
721,457,359,17091
472,434,461,14851
335,442,523,15242
243,442,388,16205
796,492,518,18219
706,296,152,15338
361,270,253,17676
165,262,300,18357
1149,398,268,15060
148,428,326,20277
1211,461,264,16119
847,457,484,18287
767,485,522,20326
715,307,195,18935
450,505,2008,19944
262,517,472,19431
548,224,257,18609
1182,238,2000,18089
560,224,151,16783
346,369,303,15885
914,517,334,19923
268,439,472,14741
486,528,442,16177
436,79,442,20275
228,262,239,17571
715,444,465,19307
582,335,320,15766
530,387,147,17478
421,533,402,18405
995,278,387,20549
1475,439,415,15386
354,259,259,15439
156,442,494,19608
459,432,345,16553
286,519,546,18678
1780,467,263,17033
260,426,249,16695
958,161,524,15151
819,325,484,15687
583,488,538,17034
1295,473,442,15993
1369,357,427,16373
1230,304,327,15343
635,312,382,18135
434,289,241,20068
1280,236,173,18971
2323,377,464,19296
461,341,406,15407
307,499,281,16724
514,527,422,16626
388,167,469,18179
580,167,465,19917
778,284,375,17896
739,486,290,16742
1119,293,330,17955
590,363,306,19678
467,521,402,19234
878,332,293,15752
1127,365,2000,17876
599,128,466,18836
768,174,167,15228
602,173,519,17170
543,453,496,15894
328,127,404,20111
694,312,461,14808
566,295,417,15126
600,358,426,18396
1274,334,367,15015
612,151,264,16115
475,455,464,18417
474,455,367,18225
330,405,300,18618
324,477,524,17637
445,527,472,17845
995,284,527,15461
327,519,455,17603
809,546,404,15803
834,2003,439,16238
938,537,150,20072
856,348,466,17861
873,383,388,16878
159,498,470,14934
605,267,510,14985
458,340,264,20141
600,368,297,18127
351,297,238,15152
914,445,128,17537
1288,401,486,15997
1451,167,352,16806
759,531,260,17143
688,396,271,16680
982,532,401,19662
766,465,164,16135
596,167,2004,16151
478,268,128,20311
155,241,426,16175
541,326,435,19520
502,345,442,19558
131,468,468,17675
611,359,468,18410
323,351,224,20066
623,498,538,20215
747,466,352,19152
1321,532,294,20299
382,173,538,15612
1454,290,128,17387
1126,318,513,15385
1506,459,195,17903
1735,461,2006,19661
422,357,334,18662
25951,174,477,19592
694,326,128,20277
833,487,380,17046
1984,300,254,18101
1650,467,417,15938
345,461,293,17653
1003,500,500,20555
683,391,466,18972
694,290,538,16745
463,394,392,19526
1863,363,513,19318
305,447,352,15064
720,498,2006,17067
906,355,2004,16183
598,498,318,19211
163,232,314,20164
516,173,519,19475
1342,405,315,17488
846,477,472,19336
520,486,497,15177
895,317,486,18247
218,383,345,15830
406,150,367,14968
338,317,293,16020
697,280,444,18545
2994,2006,2006,17541
977,317,358,18867
545,212,490,18236
298,153,167,18054
313,318,524,15709
859,397,157,16137
1770,315,546,17394
977,150,402,18353
641,268,128,17341
312,446,474,19461
627,153,516,19898
1349,458,315,19337
532,546,495,19180
866,518,173,15537
828,281,422,15016
429,442,396,19517
485,285,394,16454
507,512,315,18865
295,363,304,15183
515,485,318,19494
606,388,546,19581
211,312,410,15673
1010,395,417,15658
687,463,419,18272
794,167,524,15727
906,516,276,19951
1459,428,454,15038
290,285,83,20522
605,524,472,19362
903,329,259,18300
1368,463,427,18033
6246,464,228,20188
242,306,260,18768
432,494,444,19608
627,403,472,15381
3031,243,501,14829
848,405,402,16031
3116,490,498,16229
1634,79,441,16708
762,82,151,20047
599,128,406,15138
988,405,524,17557
598,164,538,15951
1317,342,427,18193
1407,157,303,19871
1191,144,473,16892
844,433,546,16601
6230,464,228,20324
391,369,496,16070
770,174,318,16641
1063,327,225,18700
758,465,455,19338
496,518,524,15520
543,276,303,17259
274,285,345,19071
497,498,519,16464
382,499,2006,17093
460,128,146,18043
482,422,281,14777
413,455,522,17036
651,327,427,15808
1531,236,153,17660
883,510,446,20600
337,161,380,18746
769,356,316,18257
968,236,469,20379
561,467,218,17608
205,528,472,20351
1129,527,388,16268
593,385,484,15679
577,327,427,19809
927,312,518,20234
512,500,484,17817
771,223,472,17749
1047,167,448,19626
860,490,538,16347
2215,311,499,15414
1986,399,375,18352
528,265,367,20030
399,538,457,19501
663,331,415,16526
1050,422,495,17044
481,519,536,14759
842,315,296,17940
554,426,377,15570
717,151,2004,19744
1307,533,524,20520
256,150,428,20586
523,174,455,16509
1573,168,260,20281
453,293,323,15215
1421,352,293,15555
653,347,444,15809
432,442,540,15238
285,315,83,19607
422,173,359,18220
737,445,345,19981
983,366,322,18031
440,270,323,14894
453,293,151,18613
2030,415,447,18744
1475,508,531,17062
1016,519,463,16112
307,463,247,20008
1580,461,351,18586
1582,419,453,19995
2628,2008,501,19543
448,410,323,15318
2245,437,319,19299
642,538,444,15134
1003,405,484,15966
378,120,366,16458
721,82,323,16208
1214,446,359,19857
304,297,482,14850
827,264,263,17385
255,349,311,18791
943,388,250,16205
497,463,345,19778
173,297,497,14614
300,151,386,20097
1189,83,328,16983
1340,394,427,18344
3570,509,360,16472
656,167,494,17969
1467,342,153,16576
931,237,533,19166
931,237,465,20226
249,311,349,15078
2025,519,304,17411
280,420,324,19560
152,518,167,20562
369,324,377,19438
426,248,147,19687
13720,83,83,14862
960,271,391,18141
589,174,454,17890
269,540,472,15859
787,254,153,20121
281,326,285,15907
506,450,348,15868
754,479,459,18399
713,268,347,18161
602,236,484,17313
3802,430,2012,15256
1106,421,463,17591
941,268,116,15094
560,516,167,15516
9648,164,164,16401
740,497,422,14889
1096,388,328,18109
281,264,415,19435
492,357,151,19388
5969,492,281,16230
463,359,352,15628
752,483,225,18467
813,212,533,17141
24194,271,83,17551
1015,79,486,20160
1054,511,151,18034
529,305,415,19190
481,519,521,20331
1438,280,2006,15446
399,461,402,14641
679,432,320,15327
1631,2006,2006,16094
278,368,348,15899
755,167,493,19396
1532,2006,2006,20155
94,280,254,16399
1032,438,484,20381
361,348,475,16815
488,488,450,18253
600,439,128,17866
318,442,402,19625
1517,271,260,15744
288,449,72,19542
120,446,444,18821
672,327,427,16508
617,426,347,18811
1196,473,521,18655
1000,329,223,18144
1561,539,259,19392
721,388,444,15245
256,468,281,17675
614,524,458,17304
218,174,537,19777
896,353,83,15542
876,410,377,15673
294,500,514,17230
134,471,539,20541
615,469,522,17862
246,164,359,17548
938,428,383,19184
834,363,249,17070
4092,349,469,18600
470,417,320,16374
1435,174,415,19256
453,325,546,15584
1088,315,300,17744
386,143,216,17995
498,446,536,14937
1459,317,448,17361
203,229,236,20176
502,470,444,14934
611,500,533,17168
1537,151,464,19146
494,439,488,18491
1104,368,325,16894
1037,462,167,17224
460,317,285,15024
15323,334,446,16063
1860,323,469,15536
524,167,486,15230
710,490,116,17119
817,285,212,19179
709,493,528,17823
183,428,428,19282
1052,432,459,18526
969,417,330,19599
369,439,250,16997
1510,497,153,15522
906,157,319,15647
152,257,79,19144
749,173,516,18501
567,473,356,19855
1457,499,461,17639
680,242,430,15082
1898,408,79,18000
803,527,305,16620
305,72,285,14971
699,228,500,18480
426,167,243,18107
1455,379,360,17795
303,475,168,19720
188,291,356,18919
1034,377,523,18718
880,463,276,19013
660,402,318,20241
1079,507,523,20082
641,408,427,18493
1438,224,336,16147
671,432,503,15108
495,540,362,19216
611,508,512,14900
793,332,2003,19153
367,376,415,17562
1510,242,304,19873
632,340,264,17095
583,410,504,19164
318,317,442,15624
246,328,127,15799
256,359,367,17751
662,513,525,18367
591,514,538,16669
1571,310,529,16161
727,410,348,18086
726,327,355,15922
896,326,419,17635
648,533,536,15451
1979,540,396,19286
906,460,386,18729
255,476,167,17354
1354,442,297,19558
250,486,546,19986
869,128,517,17748
1141,357,459,18825
1139,430,151,15201
462,469,464,20061
660,486,475,16416
429,398,2000,19111
195,250,251,17808
482,164,517,20075
870,477,382,15800
256,168,444,16987
1119,457,521,19648
612,516,507,15270
513,503,2001,17402
1523,276,377,16904
332,468,281,19772
621,465,518,20069
699,442,405,19202
340,337,489,16336
404,500,508,15988
1796,173,238,15308
3201,352,2006,14830
1820,426,423,18077
808,253,402,20343
398,250,253,15192
394,402,229,15352
544,326,540,17597
634,518,267,18219
263,461,475,14808
382,444,356,20015
1083,225,303,15006
1031,265,463,16368
615,174,472,17663
285,161,293,16165
1198,2006,2006,19412
1508,496,377,17283
254,248,276,17374
1073,514,347,18509
366,330,427,17157
541,307,323,18210
63,394,394,18934
612,174,442,17948
1321,340,304,17910
290,463,324,19124
574,173,474,17464
630,482,486,14850
3183,352,2006,15500
277,366,239,19454
1442,514,309,17144
981,531,490,19554
777,490,523,18236
660,380,503,18746
376,326,323,19356
1330,290,508,16872
722,267,352,16866
616,408,259,16618
940,151,528,17348
4224,225,445,16926
261,325,402,19032
245,498,472,16599
1506,415,347,16154
1537,401,431,18922
687,422,464,16087
1441,383,224,14632
375,412,521,18027
519,507,345,15106
288,465,519,20598
350,432,293,16014
363,254,402,15828
1444,402,250,15599
292,276,377,16831
698,243,540,15987
1778,388,376,17493
392,285,453,15926
917,458,484,16232
503,345,362,16553
248,237,357,19047
410,173,359,15254
2564,389,480,17438
709,484,319,19271
627,500,459,15013
1483,173,328,17513
1007,394,347,14781
2660,467,490,17077
452,412,264,19538
188,382,280,14539
226,449,495,14981
1021,253,386,15471
1027,236,387,17399
310,458,345,15603
290,259,264,20280
968,465,497,19917
789,536,290,18206
693,236,247,20176
601,395,217,16375
284,128,248,20277
735,257,415,17568
530,518,517,16429
573,464,475,18671
844,167,318,17860
627,465,518,19821
327,355,323,19453
590,362,72,15012
511,519,243,17170
1384,458,173,14982
1044,317,466,19500
549,490,463,17745
1193,518,336,19380
337,271,384,18893
725,345,337,19778
478,523,253,17174
162,236,236,16025
927,427,377,20571
1307,380,525,17046
1333,504,522,15656
1870,150,514,20072
305,448,488,17218
833,167,448,18505
1510,487,290,16841
283,417,320,18519
726,285,318,15907
1055,293,360,19020
1085,466,497,18836
1091,174,514,15840
702,486,238,17718
1802,532,497,18594
528,439,517,16238
309,466,497,19706
988,513,243,15644
1935,485,426,19213
898,468,228,15282
704,490,500,19395
965,312,320,17701
1207,490,375,14972
656,487,388,18850
851,422,305,15016
2463,522,281,17333
665,285,386,17463
984,327,195,18376
359,546,461,19986
598,327,415,17883
376,316,260,20227
2264,366,388,17500
641,375,79,20079
855,519,335,19475
298,417,458,15126
1070,519,254,18030
214,389,539,20105
2455,522,281,19753
550,307,417,17642
2378,392,304,19347
690,463,335,19427
658,382,492,17788
712,128,249,19322
238,116,459,18042
293,417,264,19727
120,229,323,15484
696,410,387,19525
815,327,304,19559
247,146,248,17060
269,257,2004,19201
1829,229,2006,17605
392,247,345,20008
759,367,465,18681
235,293,445,16587
1053,327,375,20587
1943,392,472,16367
1807,150,493,16728
517,450,228,18276
534,403,284,15251
1368,499,388,15774
578,461,483,17179
695,236,453,15244
1166,317,531,17309
651,466,167,15651
1017,422,464,19352
313,143,2000,16178
426,168,2003,15101
839,322,146,16085
411,151,320,20070
1022,305,488,15810
667,519,442,20134
185,485,533,19724
956,471,364,20572
1274,127,448,15799
620,362,168,18338
430,310,414,16044
1729,439,454,15136
813,293,79,14943
382,517,469,17150
1031,517,116,16212
465,500,257,17222
224,241,300,20068
528,2008,368,17124
366,366,300,16458
436,522,153,16236
344,236,483,16025
864,362,524,19216
338,459,116,18399
1557,174,538,18333
876,499,484,16415
17743,533,367,17141
9494,376,493,15374
1013,546,128,15584
269,330,417,16719
1024,358,392,18867
1125,388,323,16878
1056,2002,430,15145
959,339,128,17854
318,466,540,20519
870,237,462,19313
940,396,414,19472
1389,244,251,18960
1498,401,351,19662
527,229,463,16073
489,464,167,17358
601,237,444,18720
372,507,228,16494
352,496,334,14554
443,329,319,17436
145,387,316,16004
306,458,458,17304
886,499,523,16819
642,450,458,15332
469,116,475,17119
695,417,427,15139
1267,401,79,17534
655,284,347,17012
873,500,524,15587
1065,517,402,16499
453,334,461,14851
316,524,538,16893
946,225,513,17636
278,446,512,16213
258,281,457,19320
208,472,540,18175
1057,498,278,15209
462,236,3002,16839
546,488,446,17218
845,495,442,17044
188,417,320,19056
1099,347,79,17205
1816,472,2006,19431
994,352,318,19152
821,513,521,15385
652,468,318,15822
2959,405,519,19780
1443,224,225,20524
730,465,538,20226
328,472,267,18346
798,377,382,17104
314,391,323,18141
652,472,538,19336
593,265,330,19199
1933,377,500,18318
355,308,351,18874
355,212,435,17888
764,327,380,17702
742,345,461,15106
394,500,522,15528
1200,459,243,18042
866,500,466,19021
1263,164,500,16135
1401,297,161,16514
634,504,472,19164
212,254,382,17844
263,435,462,15328
470,527,519,15461
633,517,488,18275
1333,382,493,19745
806,285,362,14971
3727,457,456,16913
1719,459,500,15787
445,284,83,18978
228,232,2000,16384
2287,463,229,16112
568,285,265,15731
367,444,453,20357
313,527,537,18382
319,432,293,15953
868,336,237,18240
189,120,344,15818
796,284,465,19462
310,382,362,19884
1393,311,383,18134
506,195,330,18935
1074,253,375,17174
1554,280,516,14539
332,527,469,20360
520,442,507,15993
1673,528,316,17823
222,442,474,17948
1064,396,418,17570
487,519,474,15723
164,2009,314,20363
1178,236,324,17956
331,267,519,18219
582,457,229,16468
504,422,281,18055
670,394,540,16303
88516,389,524,15050
881,360,157,17672
1340,79,524,17211
576,417,304,16684
538,517,523,14785
650,490,519,16210
575,492,497,18436
404,401,303,17538
842,307,137,18313
549,524,228,16970
885,216,387,17995
2274,365,467,16981
414,531,320,15946
545,289,300,18625
621,310,2000,17200
582,483,466,16025
366,475,470,16416
794,473,382,16892
343,116,516,18399
469,536,164,19378
290,485,519,20237
255,415,376,19435
960,411,496,16901
1285,325,2004,16894
1821,485,499,20237
337,507,476,15270
854,488,546,17035
1775,412,243,18601
748,536,516,16371
397,253,463,15192
798,432,476,17893
654,454,153,15038
310,444,497,19803
461,421,253,18574
837,346,285,18070
587,463,375,17745
499,523,167,18718
774,350,229,15271
336,233,2000,18761
722,83,241,15874
583,463,466,16818
993,409,532,17276
32906,524,514,17312
1773,415,500,16922
544,236,251,19570
540,519,477,16203
579,497,521,14852
521,432,325,20118
737,391,310,14841
787,375,527,19924
565,245,2000,16827
369,442,168,15662
2034,157,478,14782
1052,236,522,19476
2101,263,526,17033
1976,477,290,17230
620,83,241,15542
2217,471,212,18713
961,463,396,19495
707,422,538,18063
838,339,295,17815
395,285,284,18216
345,492,493,19720
769,493,448,16131
220,391,157,19372
340,270,300,18012
832,521,508,18655
1460,512,254,16213
725,336,417,17475
670,394,229,18334
1523,143,414,19957
652,508,318,15988
841,472,500,17663
785,375,472,18435
1439,157,3002,19927
